PLACE,Mesa city,Phoenix city,Tucson city,Los Angeles city,Sacramento city,San Diego city,San Francisco city,San Jose city,Denver city,Washington city,Jacksonville city,Chicago city,Detroit city,Las Vegas city,New York city,Charlotte city,Columbus city,Oklahoma City city,Portland city,Philadelphia city,Memphis city,El Paso city,Houston city,Seattle city,Milwaukee city
Mesa city,0.0,0.4618333333333333,2.074777777777778,7.439138888888889,14.028305555555557,7.329861111111111,14.098055555555556,13.350555555555555,15.19825,40.99197222222222,35.67125,31.178333333333335,35.633361111111114,6.313944444444445,44.02144444444445,36.975611111111114,33.68405555555556,16.96061111111111,25.14247222222222,42.48458333333333,25.19333333333333,7.58075,13.18675,26.87997222222222,32.632
Phoenix city,0.4618333333333333,0.0,2.059972222222222,7.05225,13.641416666666666,6.942972222222222,13.711166666666665,12.963666666666667,15.413472222222222,41.20719444444444,35.656444444444446,31.393555555555558,35.84858333333333,5.916944444444445,44.236666666666665,37.068361111111116,33.899277777777776,17.175833333333333,24.755583333333334,42.69980555555555,25.408555555555555,7.565944444444445,13.171944444444444,26.482972222222223,32.84722222222222
Tucson city,2.074777777777778,2.059972222222222,0.0,9.098833333333333,15.688,8.989555555555556,15.75775,15.010250000000001,15.601999999999999,40.202777777777776,33.66952777777778,31.307916666666667,35.76294444444444,7.973638888888888,44.151027777777784,35.08144444444444,33.81363888888889,17.090194444444442,26.80216666666667,42.61416666666667,24.20761111111111,5.579027777777778,11.185027777777778,28.53966666666667,33.01902777777778
Los Angeles city,7.439138888888889,7.05225,9.098833333333333,0.0,7.475888888888889,0.6194999999999999,7.545638888888889,6.7981388888888885,18.261027777777777,47.40863888888889,42.61497222222222,35.83991666666667,40.57886111111111,5.374722222222222,50.18533333333334,43.39227777777778,40.100722222222224,23.377277777777778,18.590055555555555,48.90125,31.61,14.524472222222222,20.13047222222222,21.883166666666664,36.63608333333333
Sacramento city,14.028305555555557,13.641416666666666,15.688,7.475888888888889,0.0,7.004555555555556,1.8516666666666666,2.3546666666666667,20.02125,47.86736111111111,48.93225,35.25183333333334,39.99077777777777,10.421583333333333,49.59725,47.504472222222226,41.04766666666667,28.424138888888887,11.261472222222222,48.81066666666666,36.65686111111111,21.138972222222222,26.74497222222222,14.554583333333333,36.048
San Diego city,7.329861111111111,6.942972222222222,8.989555555555556,0.6194999999999999,7.004555555555556,0.0,7.0023888888888886,6.254888888888888,18.139,47.28661111111111,42.526583333333335,35.717888888888886,40.456833333333336,5.252694444444445,50.06330555555555,43.27025,39.97869444444444,23.255249999999997,18.046805555555554,48.779222222222224,31.487972222222222,14.436083333333334,20.042083333333334,21.339916666666667,36.51405555555556
San Francisco city,14.098055555555556,13.711166666666665,15.75775,7.545638888888889,1.8516666666666666,7.0023888888888886,0.0,1.0578333333333332,21.720083333333335,49.56619444444444,49.09338888888889,36.95066666666666,41.68961111111111,10.582722222222223,51.29608333333333,48.60027777777778,42.7465,28.585277777777776,12.275361111111112,50.5095,36.818,21.2105,26.816499999999998,15.568472222222223,37.746833333333335
San Jose city,13.350555555555555,12.963666666666667,15.010250000000001,6.7981388888888885,2.3546666666666667,6.254888888888888,1.0578333333333332,0.0,22.247944444444446,50.094055555555556,48.34436111111111,37.47852777777778,42.21747222222222,9.833694444444445,51.82394444444445,47.85125,43.27436111111111,27.83625,12.803222222222221,51.03736111111111,36.06897222222222,20.461472222222223,26.06747222222222,16.096333333333334,38.27469444444444
Denver city,15.19825,15.413472222222222,15.601999999999999,18.261027777777777,20.02125,18.139,21.720083333333335,22.247944444444446,0.0,30.027749999999997,31.352277777777775,17.946333333333335,22.685277777777777,12.9265,32.29175,28.556472222222222,22.71983333333333,11.563,21.50722222222222,31.505166666666668,18.979916666666664,12.204916666666666,12.187166666666668,22.916305555555553,18.7425
Washington city,40.99197222222222,41.20719444444444,40.202777777777776,47.40863888888889,47.86736111111111,47.28661111111111,49.56619444444444,50.094055555555556,30.027749999999997,0.0,13.129972222222223,12.934194444444444,9.81475,42.72438888888889,4.579916666666667,7.954055555555555,7.613416666666667,24.147805555555557,49.2235,2.9165277777777776,16.06147222222222,34.693694444444446,29.768,48.92177777777778,15.055583333333333
Jacksonville city,35.67125,35.656444444444446,33.66952777777778,42.61497222222222,48.93225,42.526583333333335,49.09338888888889,48.34436111111111,31.352277777777775,13.129972222222223,0.0,19.644861111111112,19.185361111111114,39.847833333333334,17.704694444444446,7.082222222222223,15.322666666666667,21.209333333333333,51.91277777777778,16.041305555555553,12.887777777777778,28.131722222222223,24.061,53.07183333333334,21.76625
Chicago city,31.178333333333335,31.393555555555558,31.307916666666667,35.83991666666667,35.25183333333334,35.717888888888886,36.95066666666666,37.47852777777778,17.946333333333335,12.934194444444444,19.644861111111112,0.0,5.197777777777778,30.49186111111111,14.73025,14.6065,6.752111111111111,14.344722222222222,36.700611111111115,13.943666666666665,9.782694444444443,26.844694444444443,21.991666666666667,36.08288888888889,2.2166944444444447
Detroit city,35.633361111111114,35.84858333333333,35.76294444444444,40.57886111111111,39.99077777777777,40.456833333333336,41.68961111111111,42.21747222222222,22.685277777777777,9.81475,19.185361111111114,5.197777777777778,0.0,35.220777777777776,11.589333333333332,12.467416666666665,3.9268888888888887,18.745527777777777,41.42952777777777,10.80275,13.629472222222223,31.2455,26.39247222222222,41.18244444444444,7.31625
Las Vegas city,6.313944444444445,5.916944444444445,7.973638888888888,5.374722222222222,10.421583333333333,5.252694444444445,10.582722222222223,9.833694444444445,12.9265,42.72438888888889,39.847833333333334,30.49186111111111,35.220777777777776,0.0,44.863055555555555,39.35894444444445,35.43747222222222,19.343944444444443,19.222055555555553,44.07647222222222,27.576666666666668,13.428194444444445,18.420749999999998,20.63113888888889,31.313805555555554
New York city,44.02144444444445,44.236666666666665,44.151027777777784,50.18533333333334,49.59725,50.06330555555555,51.29608333333333,51.82394444444445,32.29175,4.579916666666667,17.704694444444446,14.73025,11.589333333333332,44.863055555555555,0.0,12.572333333333333,10.580749999999998,27.195583333333335,50.992666666666665,1.982361111111111,20.36888888888889,39.00111111111111,34.07541666666667,50.69094444444444,16.824749999999998
Charlotte city,36.975611111111114,37.068361111111116,35.08144444444444,43.39227777777778,47.504472222222226,43.27025,48.60027777777778,47.85125,28.556472222222222,7.954055555555555,7.082222222222223,14.6065,12.467416666666665,39.35894444444445,12.572333333333333,0.0,8.645833333333334,20.191333333333333,49.055888888888894,10.822388888888888,11.869777777777777,29.577722222222224,24.65202777777778,50.21494444444444,16.814583333333335
Columbus city,33.68405555555556,33.899277777777776,33.81363888888889,40.100722222222224,41.04766666666667,39.97869444444444,42.7465,43.27436111111111,22.71983333333333,7.613416666666667,15.322666666666667,6.752111111111111,3.9268888888888887,35.43747222222222,10.580749999999998,8.645833333333334,0.0,16.837583333333335,42.54969444444444,9.128694444444445,11.04188888888889,29.337555555555554,24.484527777777778,42.551361111111106,8.826472222222222
Oklahoma City city,16.96061111111111,17.175833333333333,17.090194444444442,23.377277777777778,28.424138888888887,23.255249999999997,28.585277777777776,27.83625,11.563,24.147805555555557,21.209333333333333,14.344722222222222,18.745527777777777,19.343944444444443,27.195583333333335,20.191333333333333,16.837583333333335,0.0,32.544583333333335,25.634777777777778,8.385250000000001,12.612583333333333,7.739833333333333,33.95366666666666,16.039638888888888
Portland city,25.14247222222222,24.755583333333334,26.80216666666667,18.590055555555555,11.261472222222222,18.046805555555554,12.275361111111112,12.803222222222221,21.50722222222222,49.2235,51.91277777777778,36.700611111111115,41.42952777777777,19.222055555555553,50.992666666666665,49.055888888888894,42.54969444444444,32.544583333333335,0.0,50.264805555555554,39.88788888888889,29.58563888888889,33.37166666666667,3.4765277777777777,35.958194444444445
Philadelphia city,42.48458333333333,42.69980555555555,42.61416666666667,48.90125,48.81066666666666,48.779222222222224,50.5095,51.03736111111111,31.505166666666668,2.9165277777777776,16.041305555555553,13.943666666666665,10.80275,44.07647222222222,1.982361111111111,10.822388888888888,9.128694444444445,25.634777777777778,50.264805555555554,0.0,18.813666666666666,37.445888888888895,32.52019444444444,49.94719444444444,16.081
Memphis city,25.19333333333333,25.408555555555555,24.20761111111111,31.61,36.65686111111111,31.487972222222222,36.818,36.06897222222222,18.979916666666664,16.06147222222222,12.887777777777778,9.782694444444443,13.629472222222223,27.576666666666668,20.36888888888889,11.869777777777777,11.04188888888889,8.385250000000001,39.88788888888889,18.813666666666666,0.0,18.69863888888889,13.772944444444445,41.10461111111111,11.863055555555556
El Paso city,7.58075,7.565944444444445,5.579027777777778,14.524472222222222,21.138972222222222,14.436083333333334,21.2105,20.461472222222223,12.204916666666666,34.693694444444446,28.131722222222223,26.844694444444443,31.2455,13.428194444444445,39.00111111111111,29.577722222222224,29.337555555555554,12.612583333333333,29.58563888888889,37.445888888888895,18.69863888888889,0.0,5.655194444444445,30.798555555555556,28.56983333333333
Houston city,13.18675,13.171944444444444,11.185027777777778,20.13047222222222,26.74497222222222,20.042083333333334,26.816499999999998,26.06747222222222,12.187166666666668,29.768,24.061,21.991666666666667,26.39247222222222,18.420749999999998,34.07541666666667,24.65202777777778,24.484527777777778,7.739833333333333,33.37166666666667,32.52019444444444,13.772944444444445,5.655194444444445,0.0,34.69238888888889,23.652805555555556
Seattle city,26.87997222222222,26.482972222222223,28.53966666666667,21.883166666666664,14.554583333333333,21.339916666666667,15.568472222222223,16.096333333333334,22.916305555555553,48.92177777777778,53.07183333333334,36.08288888888889,41.18244444444444,20.63113888888889,50.69094444444444,50.21494444444444,42.551361111111106,33.95366666666666,3.4765277777777777,49.94719444444444,41.10461111111111,30.798555555555556,34.69238888888889,0.0,34.60755555555556
Milwaukee city,32.632,32.84722222222222,33.01902777777778,36.63608333333333,36.048,36.51405555555556,37.746833333333335,38.27469444444444,18.7425,15.055583333333333,21.76625,2.2166944444444447,7.31625,31.313805555555554,16.824749999999998,16.814583333333335,8.826472222222222,16.039638888888888,35.958194444444445,16.081,11.863055555555556,28.56983333333333,23.652805555555556,34.60755555555556,0.0
